"Method","Route","Category","Statuses","Content types","Query fields","Request schema","Response schema","Evidence files"
"GET","/chatHub","application","404;200","text/plain;text/event-stream","","","","automatic-gap-audit-v6.3-2026-08-13T07-37-33-328Z/manifests/checkpoint.json;automatic-gap-audit-v6.3-2026-08-13T07-37-33-328Z/network/NORMALIZED-CONTRACTS.json;checkpoint.json"
"POST","/chatHub","application","404;200","text/plain","","","","checkpoint.json"
"GET","/checkin/requestdata","application","200","application/json; charset=utf-8","","","","checkpoint.json"
"GET","/checkin","application","200","text/html; charset=utf-8","","","","automatic-gap-audit-v6.3-2026-08-13T07-37-33-328Z/manifests/checkpoint.json;automatic-gap-audit-v6.3-2026-08-13T07-37-33-328Z/network/NORMALIZED-CONTRACTS.json;checkpoint.json"
"GET","/checkout/requestdata","application","200","application/json; charset=utf-8","","","","checkpoint.json"
"GET","/checkout","application","200","text/html; charset=utf-8","","","","automatic-gap-audit-v6.3-2026-08-13T07-37-33-328Z/manifests/checkpoint.json;automatic-gap-audit-v6.3-2026-08-13T07-37-33-328Z/network/NORMALIZED-CONTRACTS.json;checkpoint.json"
"GET","/company","application","200","text/html; charset=utf-8","","","","automatic-gap-audit-v6.3-2026-08-13T07-37-33-328Z/manifests/checkpoint.json;automatic-gap-audit-v6.3-2026-08-13T07-37-33-328Z/network/NORMALIZED-CONTRACTS.json;checkpoint.json;controlled-rules-profiler-v6.4-2026-08-13T09-36-48-885Z/manifests/checkpoint.json;controlled-rules-profiler-v6.4-2026-08-13T09-36-48-885Z/network-schemas/CONTRACTS.json;controlled-rules-profiler-v6.4-2026-08-13T09-44-49-808Z/manifests/checkpoint.json;controlled-rules-profiler-v6.4-2026-08-13T09-44-49-808Z/network-schemas/CONTRACTS.json;controlled-rules-profiler-v6.4-2026-08-13T09-48-36-699Z/manifests/checkpoint.json;controlled-rules-profiler-v6.4-2026-08-13T09-48-36-699Z/network-schemas/CONTRACTS.json"
"GET","/contact","application","200","text/html; charset=utf-8","","","","checkpoint.json"
"GET","/contracts/customizeform","application","200","text/html; charset=utf-8","","","","automatic-gap-audit-v6.3-2026-08-13T07-37-33-328Z/manifests/checkpoint.json;automatic-gap-audit-v6.3-2026-08-13T07-37-33-328Z/network/NORMALIZED-CONTRACTS.json"
"GET","/contracts","application","302","","","","","automatic-gap-audit-v6.3-2026-08-13T07-37-33-328Z/manifests/checkpoint.json;automatic-gap-audit-v6.3-2026-08-13T07-37-33-328Z/network/NORMALIZED-CONTRACTS.json"
"GET","/dashboard/calendardata","application","200","application/json; charset=utf-8","start;end","","present","automatic-gap-audit-v6.3-2026-08-13T07-37-33-328Z/manifests/checkpoint.json;automatic-gap-audit-v6.3-2026-08-13T07-37-33-328Z/network/NORMALIZED-CONTRACTS.json;checkpoint.json;controlled-rules-profiler-v6.4-2026-08-13T09-36-48-885Z/manifests/checkpoint.json;controlled-rules-profiler-v6.4-2026-08-13T09-36-48-885Z/network-schemas/CONTRACTS.json;controlled-rules-profiler-v6.4-2026-08-13T09-44-49-808Z/manifests/checkpoint.json;controlled-rules-profiler-v6.4-2026-08-13T09-44-49-808Z/network-schemas/CONTRACTS.json;controlled-rules-profiler-v6.4-2026-08-13T09-48-36-699Z/manifests/checkpoint.json;controlled-rules-profiler-v6.4-2026-08-13T09-48-36-699Z/network-schemas/CONTRACTS.json;guided-black-box-lab-v6-2026-08-13T07-24-17-010Z/manifests/run-checkpoint.json"
"GET","/dashboard/currentusagecontent","application","200","text/html; charset=utf-8","","","","automatic-gap-audit-v6.3-2026-08-13T07-37-33-328Z/manifests/checkpoint.json;automatic-gap-audit-v6.3-2026-08-13T07-37-33-328Z/network/NORMALIZED-CONTRACTS.json"
"GET","/dashboard/feedcheckin","application","200","text/html; charset=utf-8","","","","checkpoint.json"
"GET","/dashboard/manage","application","200","text/html; charset=utf-8","","","","automatic-gap-audit-v6.3-2026-08-13T07-37-33-328Z/manifests/checkpoint.json;automatic-gap-audit-v6.3-2026-08-13T07-37-33-328Z/network/NORMALIZED-CONTRACTS.json;checkpoint.json"
"GET","/dashboard","application","200","text/html; charset=utf-8","","","","automatic-gap-audit-v6.3-2026-08-13T07-37-33-328Z/manifests/checkpoint.json;automatic-gap-audit-v6.3-2026-08-13T07-37-33-328Z/network/NORMALIZED-CONTRACTS.json;checkpoint.json;controlled-rules-profiler-v6.4-2026-08-13T09-36-48-885Z/manifests/checkpoint.json;controlled-rules-profiler-v6.4-2026-08-13T09-36-48-885Z/network-schemas/CONTRACTS.json;controlled-rules-profiler-v6.4-2026-08-13T09-44-49-808Z/manifests/checkpoint.json;controlled-rules-profiler-v6.4-2026-08-13T09-44-49-808Z/network-schemas/CONTRACTS.json;controlled-rules-profiler-v6.4-2026-08-13T09-48-36-699Z/manifests/checkpoint.json;controlled-rules-profiler-v6.4-2026-08-13T09-48-36-699Z/network-schemas/CONTRACTS.json;guided-black-box-lab-v6-2026-08-13T07-24-17-010Z/manifests/run-checkpoint.json"
"POST","/department/departments","application","200","text/html; charset=utf-8","","","","automatic-gap-audit-v6.3-2026-08-13T07-37-33-328Z/manifests/checkpoint.json;automatic-gap-audit-v6.3-2026-08-13T07-37-33-328Z/network/NORMALIZED-CONTRACTS.json"
"GET","/department","application","200","text/html; charset=utf-8","","","","automatic-gap-audit-v6.3-2026-08-13T07-37-33-328Z/manifests/checkpoint.json;automatic-gap-audit-v6.3-2026-08-13T07-37-33-328Z/network/NORMALIZED-CONTRACTS.json;checkpoint.json"
"GET","/dispose/requestdata","application","200","application/json; charset=utf-8","","","","checkpoint.json"
"GET","/dispose","application","200","text/html; charset=utf-8","","","","automatic-gap-audit-v6.3-2026-08-13T07-37-33-328Z/manifests/checkpoint.json;automatic-gap-audit-v6.3-2026-08-13T07-37-33-328Z/network/NORMALIZED-CONTRACTS.json;checkpoint.json"
"GET","/documents","application","200","text/html; charset=utf-8","","","","automatic-gap-audit-v6.3-2026-08-13T07-37-33-328Z/manifests/checkpoint.json;automatic-gap-audit-v6.3-2026-08-13T07-37-33-328Z/network/NORMALIZED-CONTRACTS.json"
"GET","/export","application","200","text/html; charset=utf-8","","","","automatic-gap-audit-v6.3-2026-08-13T07-37-33-328Z/manifests/checkpoint.json;automatic-gap-audit-v6.3-2026-08-13T07-37-33-328Z/network/NORMALIZED-CONTRACTS.json"
"GET","/favicon/site.webmanifest","application","200","application/manifest+json","","","present","automatic-gap-audit-v6.3-2026-08-13T07-37-33-328Z/manifests/checkpoint.json;automatic-gap-audit-v6.3-2026-08-13T07-37-33-328Z/network/NORMALIZED-CONTRACTS.json;checkpoint.json;controlled-rules-profiler-v6.4-2026-08-13T09-36-48-885Z/manifests/checkpoint.json;controlled-rules-profiler-v6.4-2026-08-13T09-36-48-885Z/network-schemas/CONTRACTS.json;controlled-rules-profiler-v6.4-2026-08-13T09-44-49-808Z/manifests/checkpoint.json;controlled-rules-profiler-v6.4-2026-08-13T09-44-49-808Z/network-schemas/CONTRACTS.json;controlled-rules-profiler-v6.4-2026-08-13T09-48-36-699Z/manifests/checkpoint.json;controlled-rules-profiler-v6.4-2026-08-13T09-48-36-699Z/network-schemas/CONTRACTS.json;guided-black-box-lab-v6-2026-08-13T07-24-17-010Z/manifests/run-checkpoint.json"
"GET","/gallery/fetchimages","application","200","application/json; charset=utf-8","","","present","automatic-gap-audit-v6.3-2026-08-13T07-37-33-328Z/manifests/checkpoint.json;automatic-gap-audit-v6.3-2026-08-13T07-37-33-328Z/network/NORMALIZED-CONTRACTS.json;checkpoint.json"
"GET","/gallery","application","200","text/html; charset=utf-8","","","","automatic-gap-audit-v6.3-2026-08-13T07-37-33-328Z/manifests/checkpoint.json;automatic-gap-audit-v6.3-2026-08-13T07-37-33-328Z/network/NORMALIZED-CONTRACTS.json"
"GET","/groupmanager","application","200","text/html; charset=utf-8","","","","automatic-gap-audit-v6.3-2026-08-13T07-37-33-328Z/manifests/checkpoint.json;automatic-gap-audit-v6.3-2026-08-13T07-37-33-328Z/network/NORMALIZED-CONTRACTS.json;controlled-rules-profiler-v6.4-2026-08-13T09-36-48-885Z/manifests/checkpoint.json;controlled-rules-profiler-v6.4-2026-08-13T09-36-48-885Z/network-schemas/CONTRACTS.json;controlled-rules-profiler-v6.4-2026-08-13T09-44-49-808Z/manifests/checkpoint.json;controlled-rules-profiler-v6.4-2026-08-13T09-44-49-808Z/network-schemas/CONTRACTS.json;controlled-rules-profiler-v6.4-2026-08-13T09-48-36-699Z/manifests/checkpoint.json;controlled-rules-profiler-v6.4-2026-08-13T09-48-36-699Z/network-schemas/CONTRACTS.json"
"POST","/import/template","application","200","application/excel","","","","automatic-gap-audit-v6.3-2026-08-13T07-37-33-328Z/manifests/checkpoint.json;automatic-gap-audit-v6.3-2026-08-13T07-37-33-328Z/network/NORMALIZED-CONTRACTS.json;checkpoint.json"
"GET","/import","application","200","text/html; charset=utf-8","","","","automatic-gap-audit-v6.3-2026-08-13T07-37-33-328Z/manifests/checkpoint.json;automatic-gap-audit-v6.3-2026-08-13T07-37-33-328Z/network/NORMALIZED-CONTRACTS.json;checkpoint.json"
"GET","/lease/requestdata","application","200","application/json; charset=utf-8","","","","checkpoint.json"
